$PROTNR$;$PROCOD$;$PROTYP$;$PRONAM$;$PROEAN$;$PROKDS$;$PROLDS$;$PROLIF$;$PROMMG$;$PROSTA$;$PROBEH$;$PROVEP$;$PROPEH$;$PROIEH$;$PROLZE$;$PROWFL$;$PROLIK$;$PROOPR$;$PROMPR$;$PROVVA$;$PROKRE$;$PROZOL$;$PRONEX$;$PROONL$;$PROOST$;$PROKEY$;$PROODE$;$PROSEQ$
$108758$;$108758$;$Ersatzteil$;$Feder, Kontakt-$;$4030293002319$;$NACH ZEICHNUNG$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$73202089$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$108960$;$108960$;$Ersatzteil$;$Scheibe DIN  125 B  8,4$;$4030293002340$;$VERZINKT$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$109398$;$109398$;$Ersatzteil$;$Einmaulschlüssel, SW 22$;$4030293002388$;$DIN 894$;$$;$$;0;0;0;0;0;$$;0;0;$$;3.95;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$109673$;$109673$;$Ersatzteil$;$Mutter, Dichtungs-$;$4030293002463$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;10.7;0.0;$$;$$;$76169990$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$109878$;$109878$;$Ersatzteil$;$Gewindeeinsatz Heli-Coil     #$;$4030293002494$;$M 5 X O,8 X 1,5 D$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$39269097$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110043$;$110043$;$Ersatzteil$;$Blechauflage blank 1,5mm$;$4030293002548$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;7.55;0.0;$$;$$;$84679900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110078$;$110078$;$Ersatzteil$;$Mutter, DIN 557 M  6$;$4030293002562$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181610$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110094$;$110094$;$Ersatzteil$;$Schraube, DIN  316  M  6x 12$;$4030293002586$;$verzinkt$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.85;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110140$;$110140$;$Ersatzteil$;$Schraube, DIN   84  M  4x 12 #$;$4030293002616$;$4.8, BLANK$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73181559$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110272$;$110272$;$Ersatzteil$;$Einmaulschlüssel, SW 30$;$4030293002647$;$DIN 894,$;$$;$$;0;0;0;0;0;$$;0;0;$$;8.3;0.0;$$;$$;$82041100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110299$;$110299$;$Ersatzteil$;$Spannscheibe, BL 5$;$4030293002661$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;11.4;0.0;$$;$$;$84662098$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110310$;$110310$;$Ersatzteil$;$Mutter, M 20$;$4030293002685$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.3;0.0;$$;$$;$73181699$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110612$;$110612$;$Ersatzteil$;$Ring, Dichtungs- 6002J$;$4030293002692$;$VORSPANNUNG 0,02 - 0,05 MM,AUßEN-32 MM, INNEN 18,4, C=24,5,2 HOCH, JVS-01$;$$;$$;0;0;0;0;0;$$;0;0;$$;1.45;0.0;$$;$$;$73269095$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$110892$;$110892$;$Ersatzteil$;$Handgriff$;$4030293002739$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;20.7;0.0;$$;$$;$84679900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111147$;$111147$;$Ersatzteil$;$Windflügel$;$4030293002784$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;7.1;0.0;$$;$$;$84148080$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111333$;$111333$;$Ersatzteil$;$Lager, Nadel-                #$;$4030293002869$;$15X35X12,IHRE NR. STO 15 X$;$$;$$;0;0;0;0;0;$$;0;0;$$;49.6;0.0;$$;$$;$84824000$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111384$;$111384$;$Ersatzteil$;$Ring, Sicher.- DIN 472 26X1,2$;$4030293002890$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.55;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111406$;$111406$;$Ersatzteil$;$Ring, Sicherungs- 10X1 DIN 471$;$4030293002913$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.3;0.0;$$;$$;$73182900$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111414$;$111414$;$Ersatzteil$;$Feder, Paß- DIN 6885 B4x6x16 #$;$4030293002920$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.65;0.0;$$;$$;$73182400$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111422$;$111422$;$Ersatzteil$;$Mutter, Sechskant- M 12X1    #$;$4030293002937$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;7.05;0.0;$$;$$;$73181691$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111449$;$111449$;$Ersatzteil$;$Mutter, Sechskant- M 15X1    #$;$4030293002951$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;11.6;0.0;$$;$$;$73181699$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111457$;$111457$;$Ersatzteil$;$Ring, Sicherungs- MIT NASE   #$;$4030293002968$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$73182100$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111465$;$111465$;$Ersatzteil$;$Feder, Paß- DIN 6885   A5x5x12$;$4030293002975$;$$;$$;$$;0;0;0;0;0;$$;0;0;$$;0.6;0.0;$$;$$;$73182400$;$1$;$J$;$J$;$300$;$Nexmart$;10;
$111767$;$111767$;$Ersatzteil$;$Scheibe   BL 1,5             #$;$4030293003033$;$NACH ZEICHNUNG$;$$;$$;0;0;0;0;0;$$;0;0;$$;2.05;0.0;$$;$$;$73182200$;$1$;$J$;$J$;$300$;$Nexmart$;10;
